"country","density","agricultural_land_percent","land_area_km2","birth_rate","capital","co2_emissions","cpi","cpi_change_percent","fertility_rate","forested_area_percent","gdp","gross_primary_education_enrollment_percent","gross_tertiary_education_enrollment_percent","infant_mortality","life_expectancy","maternal_mortality_ratio","official_language","health_expenditure_oop","physicians_per_thousand","population","labor_force_percent","urban_population","latitude","longtitude","region"
"Comoros",467,71.5,2235,31.88,"Moroni, Comoros",202,103.62,-4.3,4.21,19.7,1185728677,99.5,9,51.3,64.1,273,"French",74.8,0.27,850886,43.3,248152,-11.6455,43.3333,"Sub-Saharan Africa"
"Republic of the Congo",16,31.1,342000,32.86,"Brazzaville",3282,124.74,2.2,4.43,65.4,10820591131,106.6,12.7,36.2,64.3,378,"French",43.8,0.12,5380508,69.4,3625010,-0.228021,15.827659,"Sub-Saharan Africa"
"Costa Rica",100,34.5,51100,13.97,"San Jos������",8023,128.85,2.1,1.75,54.6,61773944174,113.3,55.2,7.6,80.1,27,"Spanish",21.5,2.89,5047561,62.1,4041885,9.748917,-83.753428,"Latin America & Caribbean"
"Croatia",73,27.6,56594,9,"Zagreb",17488,109.82,0.8,1.47,34.4,60415553039,96.5,67.9,4,78.1,8,"Croatian",15.2,3,4067500,51.2,2328318,45.1,15.2,"Europe & Central Asia"
"Cyprus",131,12.2,9251,10.46,"Nicosia",6626,102.51,0.3,1.33,18.7,24564647935,99.3,75.9,1.9,80.8,6,"Greek",43.9,1.95,1198575,63.1,800708,35.126413,33.429859,"Europe & Central Asia"
"Czech Republic",139,45.2,78867,10.7,"Prague",102218,116.48,2.8,1.69,34.6,2.46e+11,100.7,64.1,2.7,79,3,"Czech",14.8,4.12,10669709,60.6,7887156,49.817492,15.472962,"Europe & Central Asia"
"Democratic Republic of the Congo",40,11.6,2344858,41.18,"Kinshasa",2021,133.85,2.9,5.92,67.2,47319624204,108,6.6,68.2,60.4,473,"French",37.4,0.07,86790567,63.5,39095679,-4.038333,21.758664,"Sub-Saharan Africa"
"Denmark",137,62,43094,10.6,"Copenhagen",31786,110.35,0.8,1.73,14.7,3.48e+11,101.3,80.6,3.6,81,4,"Danish",13.7,4.01,5818553,62.2,5119978,56.26392,9.501785,"Europe & Central Asia"
"Djibouti",43,73.4,23200,21.47,"Djibouti City",620,120.25,3.3,2.73,0.2,3318716359,75.3,5.3,49.8,66.6,248,"French",20.4,0.22,973560,60.2,758549,11.825138,42.590275,"Middle East & North Africa"
"Dominican Republic",225,48.7,48670,19.51,"Santo Domingo",25258,135.5,1.8,2.35,41.7,88941298258,105.7,59.9,24.1,73.9,95,"Spanish",43.7,1.56,10738958,64.3,8787475,18.735693,-70.162651,"Latin America & Caribbean"
"Ecuador",71,22.2,283561,19.72,"Quito",41155,124.14,0.3,2.43,50.2,1.07e+11,103.3,44.9,12.2,76.8,59,"Spanish",43.7,2.04,17373662,68,11116711,-1.831239,-78.183406,"Latin America & Caribbean"
"Egypt",103,3.8,1001450,26.38,"Cairo",238560,288.57,9.2,3.33,0.1,3.03e+11,106.3,35.2,18.1,71.8,37,"Modern Standard Arabic",62,0.45,100388073,46.4,42895824,26.820553,30.802498,"Middle East & North Africa"
"El Salvador",313,76.4,21041,18.25,"San Salvador",7169,111.23,0.1,2.04,12.6,27022640000,94.8,29.4,11.8,73.1,46,"Spanish",27.9,1.57,6453553,59.1,4694702,13.794185,-88.89653,"Latin America & Caribbean"
"Equatorial Guinea",50,10.1,28051,33.24,"Malabo",5655,124.35,1.2,4.51,55.5,11026774945,61.8,1.9,62.6,58.4,301,"Spanish",72,0.4,1355986,62,984812,1.650801,10.267895,"Sub-Saharan Africa"
